Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Tail2	fact_no_ex	fact_ex	
1	1	2	2	10	1.84445e+06	2.00582e+06	-170892	0.733009	0.994836	0.994836
1	1	2	2	11	1.96084e+06	2.14105e+06	-195135	0.919345	0.992387	0.992387
1	1	2	2	12	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	1	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	2	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	3	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	4	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	5	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	6	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	7	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	8	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	9	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	10	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	11	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	3	12	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	1	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	2	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	3	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	4	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	5	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	6	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	7	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	8	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	9	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	10	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	11	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	4	12	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	1	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	2	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	3	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	4	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	5	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	6	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	7	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	8	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	9	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	10	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
1	1	2	5	11	2.06091e+06	2.25593e+06	-216132	1.1267	0.989755	0.989755
